date,close
1-Sep-08,35576
1-Oct-08,36422
1-Nov-08,36938
1-Dec-08,36041
1-Jan-09,36598
1-Feb-09,36602
1-Mar-09,36529
1-Apr-09,36334
1-May-09,36188
1-Jun-09,36329
1-Jul-09,37171
1-Aug-09,37884
1-Sep-09,39125
1-Oct-09,39081
1-Nov-09,38968
1-Dec-09,38388
1-Jan-10,39066
1-Feb-10,38495
1-Mar-10,38134
1-Apr-10,37495
1-May-10,37234
1-Jun-10,36960
1-Jul-10,36846
1-Aug-10,36984
1-Sep-10,37295
1-Oct-10,38117
1-Nov-10,38582
1-Dec-10,38688
1-Jan-11,39483
1-Feb-11,39721
1-Mar-11,39466
1-Apr-11,39017
1-May-11,38802
1-Jun-11,38470
1-Jul-11,38655
1-Aug-11,39151
1-Sep-11,40519
1-Oct-11,40553
1-Nov-11,41774
1-Dec-11,42033
1-Feb-12,42805
1-Mar-12,42712
1-Apr-12,43082
1-May-12,43781
1-Jun-12,44402
1-Jul-12,45343
1-Aug-12,46631
1-Sep-12,47994
1-Oct-12,48694
1-Nov-12,49087
1-Dec-12,49623
1-Jan-13,50135
1-Feb-13,50996
1-Mar-13,50748
1-Apr-13,50739
1-May-13,50915
1-Jun-13,50926
1-Jul-13,51106
1-Aug-13,51602
1-Sep-13,52351
1-Oct-13,52974
1-Nov-13,53270
1-Dec-13,53173
1-Jan-14,53615
1-Feb-14,54321
1-Mar-14,54386
1-Apr-14,54667
1-May-14,55258
1-Jun-14,55745
1-Jul-14,56454
1-Aug-14,56987
1-Sep-14,58056
1-Oct-14,59246
1-Nov-14,60352
1-Dec-14,60939
1-Jan-15,60670
1-Feb-15,60484
1-Mar-15,60067
1-Apr-15,59285
1-May-15,58906
1-Jun-15,58541
1-Jul-15,58270
1-Aug-15,58708
1-Sep-15,59305
1-Oct-15,59568
1-Nov-15,59929
1-Dec-15,60096
1-Jan-16,60296
1-Feb-16,60410
1-Mar-16,60144
1-Apr-16,60060
1-May-16,60067
1-Jun-16,60042
1-Jul-16,60456
1-Aug-16,61464
1-Sep-16,61931
1-Oct-16,62306
1-Nov-16,62840
1-Dec-16,62674
1-Jan-17,62692
1-Feb-17,62435
1-Mar-17,61936
1-Apr-17,61277
1-May-17,61113
1-Jun-17,60717
1-Jul-17,60856
1-Aug-17,61471
1-Sep-17,62351
1-Oct-17,62963
1-Nov-17,63169
1-Dec-17,63495
1-Jan-18,63101
1-Feb-18,63343
1-Mar-18,62974
1-Apr-18,62498
1-May-18,61945
1-Jun-18,61421
1-Jul-18,61697
1-Aug-18,62166
1-Sep-18,63025
1-Oct-18,63559
1-Nov-18,63636
1-Dec-18,63498
1-Jan-19,63839
1-Feb-19,63615
1-Mar-19,63029
1-Apr-19,61782
1-May-19,61129
1-Jun-19,60849
1-Jul-19,61054
1-Aug-19,61674
1-Sep-19,62391
1-Oct-19,62808
1-Nov-19,63092
1-Dec-19,62590
1-Jan-20,62679
